 SimTime (float32)[1], IPL (int32)[1], MAG (int32)[1], ALT (int32)[1], ALV (int32)[1]
8.2505,0,0,0,0
8.2510,0,0,0,0
8.2515,0,0,0,0
8.2520,0,0,0,0
8.2525,0,0,0,0
8.2530,0,0,0,0
8.2535,0,0,0,0
8.2540,0,0,0,0
8.2545,0,0,0,0
8.2550,0,0,0,0
8.2555,0,0,0,0
8.2560,0,0,0,0
8.2565,0,0,0,0
8.2570,0,0,0,0
8.2575,0,0,0,0
8.2580,0,0,0,0
8.2585,0,0,0,0
8.2590,0,0,0,0
8.2595,0,0,0,0
8.2600,0,0,0,0
8.2605,0,0,0,0
8.2610,0,0,0,0
8.2615,0,0,0,0
8.2620,0,0,0,0
8.2625,0,0,0,0
8.2630,0,0,0,0
8.2635,0,0,0,0
8.2640,0,0,0,0
8.2645,0,0,0,0
8.2650,0,0,0,0
8.2655,0,0,0,0
8.2660,0,0,0,0
8.2665,0,0,0,0
8.2670,0,0,0,0
8.2675,0,0,0,0
8.2680,0,0,0,0
8.2685,0,0,0,0
8.2690,0,0,0,0
8.2695,0,0,0,0
8.2700,0,0,0,0
8.2705,0,0,0,0
8.2710,0,0,0,0
8.2715,0,0,0,0
8.2720,0,0,0,0
8.2725,0,0,0,0
8.2730,0,0,0,0
8.2735,0,0,0,0
8.2740,0,0,0,0
8.2745,0,0,0,0
8.2750,0,0,0,0
8.2755,0,0,0,0
8.2760,0,0,0,0
8.2765,0,0,0,0
8.2770,0,0,0,0
8.2775,0,0,0,0
8.2780,0,0,0,0
8.2785,0,0,0,0
8.2790,0,0,0,0
8.2795,0,0,0,0
8.2800,0,0,0,0
8.2805,0,0,0,0
8.2810,0,0,0,0
8.2815,0,0,0,0
8.2820,0,0,0,0
8.2825,0,0,0,0
8.2830,0,0,0,0
8.2835,0,0,0,0
8.2840,0,0,0,0
8.2845,0,0,0,0
8.2850,0,0,0,0
8.2855,0,0,0,0
8.2860,0,0,0,0
8.2865,0,0,0,0
8.2870,0,0,0,0
8.2875,0,0,0,0
8.2880,0,0,0,0
8.2885,0,0,0,0
8.2890,0,0,0,0
8.2895,0,0,0,0
8.2900,0,0,0,0
8.2905,0,0,0,0
8.2910,0,0,0,0
8.2915,0,0,0,0
8.2920,0,0,0,0
8.2925,0,0,0,0
8.2930,0,0,0,0
8.2935,0,0,0,0
8.2940,0,0,0,0
8.2945,0,0,0,0
8.2950,0,0,0,0
8.2955,0,0,0,0
8.2960,0,0,0,0
8.2965,0,0,0,0
8.2970,0,0,0,0
8.2975,0,0,0,0
8.2980,0,0,0,0
8.2985,0,0,0,0
8.2990,0,0,0,0
8.2995,0,0,0,0
8.3000,0,0,0,0
8.3005,0,0,0,0
8.3010,0,0,0,0
8.3015,0,0,0,0
8.3020,0,0,0,0
8.3025,0,0,0,0
8.3030,0,0,0,0
8.3035,0,0,0,0
8.3040,0,0,0,0
8.3045,0,0,0,0
8.3050,0,0,0,0
8.3055,0,0,0,0
8.3060,0,0,0,0
8.3065,0,0,0,0
8.3070,0,0,0,0
8.3075,0,0,0,0
8.3080,0,0,0,0
8.3085,0,0,0,0
8.3090,0,0,0,0
8.3095,0,0,0,0
8.3100,0,0,0,0
8.3105,0,0,0,0
8.3110,0,0,0,0
8.3115,0,0,0,0
8.3120,0,0,0,0
8.3125,0,0,0,0
8.3130,0,0,0,0
8.3135,0,0,0,0
8.3140,0,0,0,0
8.3145,0,0,0,0
8.3150,0,0,0,0
8.3155,0,0,0,0
8.3160,0,0,0,0
8.3165,0,0,0,0
8.3170,0,0,0,0
8.3175,0,0,0,0
8.3180,0,0,0,0
8.3185,0,0,0,0
