 SimTime (float32)[1], IPL (int32)[1], MAG (int32)[1], ALT (int32)[1], ALV (int32)[1]
8.2500,0,0,0,0
8.2505,0,0,0,0
8.2510,0,0,0,0
8.2515,0,0,0,0
8.2520,0,0,0,0
8.2525,0,0,0,0
8.2530,0,0,0,0
8.2535,0,0,0,0
8.2540,0,0,0,0
8.2545,0,0,0,0
8.2550,0,0,0,0
8.2555,0,0,0,0
8.2560,0,0,0,0
8.2565,0,0,0,0
8.2570,0,0,0,0
8.2575,0,0,0,0
8.2580,0,0,0,0
8.2585,0,0,0,0
8.2590,0,0,0,0
8.2595,0,0,0,0
8.2600,0,0,0,0
8.2605,0,0,0,0
8.2610,0,0,0,0
8.2615,0,0,0,0
8.2620,0,0,0,0
8.2625,0,0,0,0
8.2630,0,0,0,0
8.2635,0,0,0,0
8.2640,0,0,0,0
8.2645,0,0,0,0
8.2650,0,0,0,0
8.2655,0,0,0,0
8.2660,0,0,0,0
8.2665,0,0,0,0
8.2670,0,0,0,0
8.2675,0,0,0,0
8.2680,0,0,0,0
8.2685,0,0,0,0
8.2690,0,0,0,0
8.2695,0,0,0,0
8.2700,0,0,0,0
8.2705,0,0,0,0
8.2710,0,0,0,0
8.2715,0,0,0,0
8.2720,0,0,0,0
8.2725,0,0,0,0
8.2730,0,0,0,0
8.2735,0,0,0,0
8.2740,0,0,0,0
8.2745,0,0,0,0
8.2750,0,0,0,0
8.2755,0,0,0,0
8.2760,0,0,0,0
8.2765,0,0,0,0
8.2770,0,0,0,0
8.2775,0,0,0,0
8.2780,0,0,0,0
8.2785,0,0,0,0
8.2790,0,0,0,0
8.2795,0,0,0,0
8.2800,0,0,0,0
8.2805,0,0,0,0
8.2810,0,0,0,0
8.2815,0,0,0,0
8.2820,0,0,0,0
8.2825,0,0,0,0
8.2830,0,0,0,0
8.2835,0,0,0,0
8.2840,0,0,0,0
8.2845,0,0,0,0
8.2850,0,0,0,0
8.2855,0,0,0,0
8.2860,0,0,0,0
8.2865,0,0,0,0
8.2870,0,0,0,0
8.2875,0,0,0,0
8.2880,0,0,0,0
8.2885,0,0,0,0
8.2890,0,0,0,0
8.2895,0,0,0,0
8.2900,0,0,0,0
8.2905,0,0,0,0
8.2910,0,0,0,0
8.2915,0,0,0,0
8.2920,0,0,0,0
8.2925,0,0,0,0
8.2930,0,0,0,0
8.2935,0,0,0,0
8.2940,0,0,0,0
8.2945,0,0,0,0
8.2950,0,0,0,0
8.2955,0,0,0,0
8.2960,0,0,0,0
8.2965,0,0,0,0
8.2970,0,0,0,0
8.2975,0,0,0,0
8.2980,0,0,0,0
8.2985,0,0,0,0
8.2990,0,0,0,0
8.2995,0,0,0,0
8.3000,0,0,0,0
8.3005,0,0,0,0
8.3010,0,0,0,0
8.3015,0,0,0,0
8.3020,0,0,0,0
8.3025,0,0,0,0
8.3030,0,0,0,0
8.3035,0,0,0,0
8.3040,0,0,0,0
8.3045,0,0,0,0
8.3050,0,0,0,0
8.3055,0,0,0,0
8.3060,0,0,0,0
8.3065,0,0,0,0
8.3070,0,0,0,0
8.3075,0,0,0,0
8.3080,0,0,0,0
8.3085,0,0,0,0
8.3090,0,0,0,0
8.3095,0,0,0,0
8.3100,0,0,0,0
8.3105,0,0,0,0
8.3110,0,0,0,0
8.3115,0,0,0,0
8.3120,0,0,0,0
8.3125,0,0,0,0
8.3130,0,0,0,0
8.3135,0,0,0,0
8.3140,0,0,0,0
8.3145,0,0,0,0
8.3150,0,0,0,0
8.3155,0,0,0,0
8.3160,0,0,0,0
8.3165,0,0,0,0
8.3170,0,0,0,0
8.3175,0,0,0,0
8.3180,0,0,0,0
8.3185,0,0,0,0
8.3190,0,0,0,0
8.3195,0,0,0,0
8.3200,0,0,0,0
8.3205,0,0,0,0
8.3210,0,0,0,0
8.3215,0,0,0,0
8.3220,0,0,0,0
8.3225,0,0,0,0
8.3230,0,0,0,0
8.3235,0,0,0,0
8.3240,0,0,0,0
8.3245,0,0,0,0
8.3250,0,0,0,0
8.3255,0,0,0,0
8.3260,0,0,0,0
8.3265,0,0,0,0
8.3270,0,0,0,0
8.3275,0,0,0,0
8.3280,0,0,0,0
8.3285,0,0,0,0
8.3290,0,0,0,0
8.3295,0,0,0,0
8.3300,0,0,0,0
8.3305,0,0,0,0
8.3310,0,0,0,0
8.3315,0,0,0,0
8.3320,0,0,0,0
8.3325,0,0,0,0
8.3330,0,0,0,0
8.3335,0,0,0,0
8.3340,0,0,0,0
8.3345,0,0,0,0
8.3350,0,0,0,0
8.3355,0,0,0,0
8.3360,0,0,0,0
8.3365,0,0,0,0
8.3370,0,0,0,0
8.3375,0,0,0,0
8.3380,0,0,0,0
8.3385,0,0,0,0
8.3390,0,0,0,0
8.3395,0,0,0,0
8.3400,0,0,0,0
8.3405,0,0,0,0
8.3410,0,0,0,0
8.3415,0,0,0,0
8.3420,0,0,0,0
8.3425,0,0,0,0
8.3430,0,0,0,0
8.3435,0,0,0,0
8.3440,0,0,0,0
8.3445,0,0,0,0
8.3450,0,0,0,0
8.3455,0,0,0,0
8.3460,0,0,0,0
8.3465,0,0,0,0
8.3470,0,0,0,0
8.3475,0,0,0,0
8.3480,0,0,0,0
8.3485,0,0,0,0
8.3490,0,0,0,0
8.3495,0,0,0,0
8.3500,0,0,0,0
8.3505,0,0,0,0
8.3510,0,0,0,0
8.3515,0,0,0,0
8.3520,0,0,0,0
8.3525,0,0,0,0
8.3530,0,0,0,0
8.3535,0,0,0,0
8.3540,0,0,0,0
8.3545,0,0,0,0
8.3550,0,0,0,0
8.3555,0,0,0,0
8.3560,0,0,0,0
8.3565,0,0,0,0
8.3570,0,0,0,0
8.3575,0,0,0,0
8.3580,0,0,0,0
8.3585,0,0,0,0
8.3590,0,0,0,0
8.3595,0,0,0,0
8.3600,0,0,0,0
8.3605,0,0,0,0
8.3610,0,0,0,0
8.3615,0,0,0,0
8.3620,0,0,0,0
8.3625,0,0,0,0
8.3630,0,0,0,0
8.3635,0,0,0,0
8.3640,0,0,0,0
8.3645,0,0,0,0
8.3650,0,0,0,0
8.3655,0,0,0,0
8.3660,0,0,0,0
8.3665,0,0,0,0
8.3670,0,0,0,0
8.3675,0,0,0,0
8.3680,0,0,0,0
8.3685,0,0,0,0
8.3690,0,0,0,0
8.3695,0,0,0,0
8.3700,0,0,0,0
8.3705,0,0,0,0
8.3710,0,0,0,0
8.3715,0,0,0,0
8.3720,0,0,0,0
8.3725,0,0,0,0
8.3730,0,0,0,0
8.3735,0,0,0,0
8.3740,0,0,0,0
8.3745,0,0,0,0
8.3750,0,0,0,0
8.3755,0,0,0,0
8.3760,0,0,0,0
8.3765,0,0,0,0
8.3770,0,0,0,0
8.3775,0,0,0,0
8.3780,0,0,0,0
8.3785,0,0,0,0
8.3790,0,0,0,0
8.3795,0,0,0,0
8.3800,0,0,0,0
8.3805,0,0,0,0
8.3810,0,0,0,0
8.3815,0,0,0,0
8.3820,0,0,0,0
8.3825,0,0,0,0
8.3830,0,0,0,0
8.3835,0,0,0,0
8.3840,0,0,0,0
8.3845,0,0,0,0
8.3850,0,0,0,0
8.3855,0,0,0,0
8.3860,0,0,0,0
8.3865,0,0,0,0
8.3870,0,0,0,0
8.3875,0,0,0,0
8.3880,0,0,0,0
8.3885,0,0,0,0
8.3890,0,0,0,0
8.3895,0,0,0,0
8.3900,0,0,0,0
8.3905,0,0,0,0
8.3910,0,0,0,0
8.3915,0,0,0,0
8.3920,0,0,0,0
8.3925,0,0,0,0
8.3930,0,0,0,0
8.3935,0,0,0,0
8.3940,0,0,0,0
8.3945,0,0,0,0
8.3950,0,0,0,0
8.3955,0,0,0,0
8.3960,0,0,0,0
8.3965,0,0,0,0
8.3970,0,0,0,0
8.3975,0,0,0,0
8.3980,0,0,0,0
8.3985,0,0,0,0
8.3990,0,0,0,0
8.3995,0,0,0,0
8.4000,0,0,0,0
8.4005,0,0,0,0
8.4010,0,0,0,0
8.4015,0,0,0,0
8.4020,0,0,0,0
8.4025,0,0,0,0
8.4030,0,0,0,0
8.4035,0,0,0,0
8.4040,0,0,0,0
8.4045,0,0,0,0
8.4050,0,0,0,0
8.4055,0,0,0,0
8.4060,0,0,0,0
8.4065,0,0,0,0
8.4070,0,0,0,0
8.4075,0,0,0,0
8.4080,0,0,0,0
8.4085,0,0,0,0
8.4090,0,0,0,0
8.4095,0,0,0,0
8.4100,0,0,0,0
8.4105,0,0,0,0
8.4110,0,0,0,0
8.4115,0,0,0,0
8.4120,0,0,0,0
8.4125,0,0,0,0
8.4130,0,0,0,0
8.4135,0,0,0,0
8.4140,0,0,0,0
8.4145,0,0,0,0
8.4150,0,0,0,0
8.4155,0,0,0,0
8.4160,0,0,0,0
8.4165,0,0,0,0
8.4170,0,0,0,0
8.4175,0,0,0,0
